"Sample_Name","rail_id","external_id","sra_sample_acc_x","sra_experiment_acc","sra_experiment_title","sra_sample_attributes","sra_experiment_attributes","sra_sample_name","sra_sample_title","sra_sample_bases","sra_sample_spots","sra_run_published","sra_size","sra_run_total_bases","sra_run_total_spots","sra_num_spots","sra_read_info","sra_run_alias","recount_qc_aligned_readspercent_chrm","recount_qc_aligned_readspercent_chrx","recount_qc_aligned_readspercent_chry","recount_qc_bc_auc_all_reads_all_bases","recount_qc_bc_auc_all_reads_annotated_bases","recount_qc_bc_auc_unique_reads_all_bases","recount_qc_bc_auc_unique_reads_annotated_bases","recount_qc_bc_auc_all_percent","recount_qc_bc_auc_unique_percent","recount_qc_bc_frag_count","recount_qc_bc_frag_kallisto_count","recount_qc_bc_frag_kallisto_mean_length","recount_qc_bc_frag_mean_length","recount_qc_bc_frag_mode_length","recount_qc_bc_frag_mode_length_count","recount_qc_exon_fc_all_percent","recount_qc_exon_fc_unique_percent","recount_qc_exon_fc_count_all_total","recount_qc_exon_fc_count_all_assigned","recount_qc_exon_fc_count_unique_total","recount_qc_exon_fc_count_unique_assigned","recount_qc_gene_fc_all_percent","recount_qc_gene_fc_unique_percent","recount_qc_gene_fc_count_all_total","recount_qc_gene_fc_count_all_assigned","recount_qc_gene_fc_count_unique_total","recount_qc_gene_fc_count_unique_assigned","recount_qc_intron_sum","recount_qc_iintron_sum_percent","recount_qc_star_percent_of_chimeric_reads","recount_qc_star_percent_of_reads_mapped_to_multiple_loci","recount_qc_star_percent_of_reads_mapped_to_too_many_loci","recount_qc_star_percent_of_reads_unmapped_other","recount_qc_star_percent_of_reads_unmapped_too_short","recount_qc_star_all_mapped_reads","recount_qc_star_average_input_read_length","recount_qc_star_average_mapped_length","recount_qc_star_deletion_average_length","recount_qc_star_deletion_rate_per_base","recount_qc_star_insertion_average_length","recount_qc_star_mapping_speed_million_of_reads_per_hour","recount_qc_star_mismatch_rate_per_base_percent","recount_qc_star_number_of_chimeric_reads","recount_qc_star_number_of_input_reads","recount_qc_star_number_of_reads_mapped_to_multiple_loci","recount_qc_star_number_of_reads_mapped_to_too_many_loci","recount_qc_star_number_of_reads_unmapped_other","recount_qc_star_number_of_reads_unmapped_too_short","recount_qc_star_number_of_splices_at_ac","recount_qc_star_number_of_splices_gc_ag","recount_qc_star_number_of_splices_gt_ag","recount_qc_star_number_of_splices_non_canonical","recount_qc_star_number_of_splices_total","recount_qc_star_uniquely_mapped_reads_percent","recount_qc_star_uniquely_mapped_reads_number","recount_qc_junction_count","recount_qc_junction_coverage","recount_qc_junction_avg_coverage","recount_qc_star_number_of_input_reads_both","recount_qc_star_all_mapped_reads_both","recount_qc_star_number_of_chimeric_reads_both","recount_qc_star_number_of_reads_mapped_to_multiple_loci_both","recount_qc_star_number_of_reads_mapped_to_too_many_loci_both","recount_qc_star_number_of_reads_unmapped_other_both","recount_qc_star_number_of_reads_unmapped_too_short_both","recount_qc_star_uniquely_mapped_reads_number_both","recount_qc_star_percent_mapped_reads_both","recount_qc_star_percent_chimeric_reads_both","recount_qc_star_percent_reads_mapped_to_multiple_loci_both","recount_qc_star_percent_reads_mapped_to_too_many_loci_both","recount_qc_star_percent_reads_unmapped_other_both","recount_qc_star_percent_reads_unmapped_too_short_both","recount_qc_star_uniquely_mapped_reads_percent_both","recount_seq_qc_avg_len","recount_seq_qc_bases","recount_seq_qc_percenta","recount_seq_qc_percentc","recount_seq_qc_percentg","recount_seq_qc_percentt","recount_seq_qc_percentn","recount_seq_qc_avgq","recount_seq_qc_errq","recount_pred_sample_acc_y","recount_pred_pred_type","BigWigURL","age","cell.type","cx3cr1.genotype","Sex","source_name","treatment","group"
"SRR9139048",3672346,"SRR9139048","SRS4831095","SRX5912208","GSM3823683_ 2mo_WT_1M_ Mus musculus_ RNA_Seq","age__2 months_cell type__Microglia_cx3cr1 genotype__WT_Sex__male_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823683","GSM3823683","2mo_WT_1M",1837653701,18946075,"2019_11_28 20_26_03",680914806,1837653701,18946075,18946075,"index_0_count_18946075_average_48_50_stdev_3_21_index_1_count_18946075_average_48_50_stdev_3_21","GSM3823683_r1",0.55,2.72,0.12,1514054891,1511579081,1450588319,1456731368,99.84,100.42,18204121,16064583,148.83,937.634,38,136589,82.09,85.94,19778018,14943105,19778018,14943105,81.4,82.11,19778018,14817812,19778018,14277998,200074829,13.21,1.3,4.31,0.53,0.35,3.04,18204121,96,96.07,1.26,0.01,1.09,649.58,0.12,246943,18946075,815869,99826,65857,576271,1365,13451,2752425,7991,2775232,91.78,17388252,121542,2586128,21.277648878577,18946075,18204121,246943,815869,99826,65857,576271,17388252,96.1,1.3,4.3,0.5,0.3,3,91.8,48.5,918798794,25.3,24,24.9,25.7,0.1,35.9,28.4,"SRS4831095","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_48_sra_base_sums_SRP199678_SRR9139048_ALL_bw","2 months","Microglia","WT","male","Microglia","None/naïve","grp14"
"SRR9139049",3672375,"SRR9139049","SRS4831096","SRX5912209","GSM3823684_ 2mo_WT_2M_ Mus musculus_ RNA_Seq","age__2 months_cell type__Microglia_cx3cr1 genotype__WT_Sex__male_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823684","GSM3823684","2mo_WT_2M",1979087052,20410378,"2019_11_28 20_26_03",734552101,1979087052,20410378,20410378,"index_0_count_20410378_average_48_48_stdev_3_23_index_1_count_20410378_average_48_48_stdev_3_23","GSM3823684_r1",0.56,2.74,0.16,1628104170,1625296197,1561003401,1567615446,99.83,100.42,19623704,17362958,147.052,932.515,39,149476,81.98,85.75,21311007,16087613,21311007,16087613,81.29,82.02,21311007,15953038,21311007,15386396,219081305,13.46,1.27,4.23,0.56,0.34,2.95,19623704,96,96.05,1.22,0,1.08,749.77,0.12,258864,20410378,863569,115123,68945,602606,1504,14476,2943781,9944,2969705,91.91,18760135,123003,2763388,22.466021153956,20410378,19623704,258864,863569,115123,68945,602606,18760135,96.1,1.3,4.2,0.6,0.3,3,91.9,48.48,989516686,25.4,23.9,24.8,25.8,0.1,35.9,28.2,"SRS4831096","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_49_sra_base_sums_SRP199678_SRR9139049_ALL_bw","2 months","Microglia","WT","male","Microglia","None/naïve","grp14"
"SRR9139050",3672598,"SRR9139050","SRS4831097","SRX5912210","GSM3823685_ 2mo_WT_3M_ Mus musculus_ RNA_Seq","age__2 months_cell type__Microglia_cx3cr1 genotype__WT_Sex__male_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823685","GSM3823685","2mo_WT_3M",1889428912,19467088,"2019_11_28 20_26_03",708792103,1889428912,19467088,19467088,"index_0_count_19467088_average_48_53_stdev_3_17_index_1_count_19467088_average_48_53_stdev_3_17","GSM3823685_r1",0.53,2.85,0.14,1560237426,1555680812,1495151321,1499829004,99.71,100.31,18677347,16503740,149.971,950.65,39,136681,80.17,83.92,20297064,14973997,20297064,14973997,79.48,80.18,20297064,14844081,20297064,14307280,237931558,15.25,1.29,4.28,0.53,0.38,3.14,18677347,97,96.15,1.26,0,1.09,569.77,0.12,251861,19467088,833224,103503,74395,611843,1413,13245,2723158,7598,2745414,91.66,17844123,121281,2566905,21.164939273258,19467088,18677347,251861,833224,103503,74395,611843,17844123,95.9,1.3,4.3,0.5,0.4,3.1,91.7,48.53,944704315,25.5,23.7,24.8,25.9,0.1,35.8,28.1,"SRS4831097","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_50_sra_base_sums_SRP199678_SRR9139050_ALL_bw","2 months","Microglia","WT","male","Microglia","None/naïve","grp14"
"SRR9139051",3672629,"SRR9139051","SRS4831098","SRX5912211","GSM3823686_ 2mo_WT_4M_ Mus musculus_ RNA_Seq","age__2 months_cell type__Microglia_cx3cr1 genotype__WT_Sex__male_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823686","GSM3823686","2mo_WT_4M",1955832896,20159788,"2019_11_28 20_26_03",733865079,1955832896,20159788,20159788,"index_0_count_20159788_average_48_51_stdev_3_20_index_1_count_20159788_average_48_51_stdev_3_20","GSM3823686_r1",0.65,2.9,0.14,1609916930,1601142851,1539529041,1540772096,99.45,100.08,19319974,17152955,149.313,924.138,39,144323,78.78,82.65,21082838,15220798,21082838,15220798,78.24,78.94,21082838,15115445,21082838,14537097,262918378,16.33,1.29,4.49,0.54,0.43,3.2,19319974,97,96.11,1.27,0,1.09,780.38,0.12,260973,20159788,904267,108001,85762,646051,1484,12960,2709575,7674,2731693,91.35,18415707,123313,2556570,20.732363984333,20159788,19319974,260973,904267,108001,85762,646051,18415707,95.8,1.3,4.5,0.5,0.4,3.2,91.3,48.51,977885460,25.6,23.8,24.6,25.9,0.1,35.6,27.3,"SRS4831098","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_51_sra_base_sums_SRP199678_SRR9139051_ALL_bw","2 months","Microglia","WT","male","Microglia","None/naïve","grp14"
"SRR9139052",3672662,"SRR9139052","SRS4831099","SRX5912212","GSM3823687_ 2mo_WT_5M_ Mus musculus_ RNA_Seq","age__2 months_cell type__Microglia_cx3cr1 genotype__WT_Sex__male_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823687","GSM3823687","2mo_WT_5M",1901671548,19610035,"2019_11_28 20_26_03",718146009,1901671548,19610035,19610035,"index_0_count_19610035_average_48_49_stdev_3_23_index_1_count_19610035_average_48_49_stdev_3_23","GSM3823687_r1",0.68,3.09,0.17,1556333913,1543775044,1484200281,1482359268,99.19,99.88,18744504,16798720,146.423,884.339,39,145281,76.39,80.39,20594272,14319271,20594272,14319271,75.98,76.71,20594272,14242406,20594272,13664991,287322531,18.46,1.33,4.75,0.58,0.49,3.35,18744504,96,96.09,1.31,0.01,1.09,593.24,0.12,260717,19610035,931354,112942,96001,656588,1443,12064,2483187,7271,2503965,90.84,17813150,122463,2340651,19.113128046839,19610035,18744504,260717,931354,112942,96001,656588,17813150,95.6,1.3,4.7,0.6,0.5,3.3,90.8,48.49,950825144,25.7,23.6,24.6,26,0.1,35.6,27.2,"SRS4831099","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_52_sra_base_sums_SRP199678_SRR9139052_ALL_bw","2 months","Microglia","WT","male","Microglia","None/naïve","grp14"
"SRR9139053",3672694,"SRR9139053","SRS4831100","SRX5912213","GSM3823688_ 2mo_WT_6F_ Mus musculus_ RNA_Seq","age__2 months_cell type__Microglia_cx3cr1 genotype__WT_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823688","GSM3823688","2mo_WT_6F",1864735105,19200414,"2019_11_28 20_26_03",692717715,1864735105,19200414,19200414,"index_0_count_19200414_average_48_56_stdev_3_12_index_1_count_19200414_average_48_56_stdev_3_12","GSM3823688_r1",0.55,2.92,0.08,1544329963,1547573855,1475790744,1488026144,100.21,100.83,18418970,16039676,154.256,999.794,39,130537,84.21,88.41,20080660,15509997,20080660,15509997,83.57,84.42,20080660,15393114,20080660,14810284,170367435,11.03,1.38,4.56,0.47,0.33,3.27,18418970,97,96.14,1.29,0.01,1.11,664.63,0.12,265605,19200414,875137,89598,63176,628670,1435,13171,2914614,7657,2936877,91.37,17543833,119965,2756043,22.973725669987,19200414,18418970,265605,875137,89598,63176,628670,17543833,95.9,1.4,4.6,0.5,0.3,3.3,91.4,48.56,932345682,25.2,24,24.9,25.7,0.1,35.9,28.5,"SRS4831100","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_53_sra_base_sums_SRP199678_SRR9139053_ALL_bw","2 months","Microglia","WT","female","Microglia","None/naïve","grp8"
"SRR9139054",3672724,"SRR9139054","SRS4831101","SRX5912214","GSM3823689_ 2mo_WT_7F_ Mus musculus_ RNA_Seq","age__2 months_cell type__Microglia_cx3cr1 genotype__WT_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823689","GSM3823689","2mo_WT_7F",1924196022,19854165,"2019_11_28 20_26_03",718618922,1924196022,19854165,19854165,"index_0_count_19854165_average_48_46_stdev_3_27_index_1_count_19854165_average_48_46_stdev_3_27","GSM3823689_r1",0.83,3.07,0.15,1557806297,1549686923,1485087996,1487407547,99.48,100.16,18865719,16916751,143.758,885.986,39,149958,77,81.05,20715567,14525705,20715567,14525705,76.65,77.36,20715567,14460395,20715567,13864226,277399077,17.81,1.42,4.75,0.53,0.47,3.98,18865719,96,95.97,1.23,0,1.08,545.61,0.12,282765,19854165,942998,104387,93381,790678,1392,12350,2541404,8274,2563420,90.27,17922721,119154,2388654,20.046779797573,19854165,18865719,282765,942998,104387,93381,790678,17922721,95,1.4,4.7,0.5,0.5,4,90.3,48.46,962074749,25.5,23.7,24.5,26.2,0.1,35.8,27.9,"SRS4831101","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_54_sra_base_sums_SRP199678_SRR9139054_ALL_bw","2 months","Microglia","WT","female","Microglia","None/naïve","grp8"
"SRR9139055",3672755,"SRR9139055","SRS4831102","SRX5912215","GSM3823690_ 2mo_WT_8F_ Mus musculus_ RNA_Seq","age__2 months_cell type__Microglia_cx3cr1 genotype__WT_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823690","GSM3823690","2mo_WT_8F",1642933874,16939381,"2019_11_28 20_26_03",614161660,1642933874,16939381,16939381,"index_0_count_16939381_average_48_49_stdev_3_22_index_1_count_16939381_average_48_50_stdev_3_21","GSM3823690_r1",0.57,2.86,0.14,1345414642,1339513374,1290451600,1292747142,99.56,100.18,16201018,14448924,146.802,914.285,38,123948,78.82,82.43,17593357,12769649,17593357,12769649,78.05,78.75,17593357,12644897,17593357,12200706,223837529,16.64,1.28,4.19,0.54,0.44,3.38,16201018,96,96.08,1.27,0.01,1.09,445.12,0.12,216361,16939381,709003,91279,74154,572930,1211,10845,2249633,6624,2268313,91.46,15492015,116966,2115827,18.089248157584,16939381,16201018,216361,709003,91279,74154,572930,15492015,95.6,1.3,4.2,0.5,0.4,3.4,91.5,48.49,821437640,25.5,23.8,24.6,26,0.1,35.8,28.1,"SRS4831102","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_55_sra_base_sums_SRP199678_SRR9139055_ALL_bw","2 months","Microglia","WT","female","Microglia","None/naïve","grp8"
"SRR9139056",3672788,"SRR9139056","SRS4831103","SRX5912216","GSM3823691_ 2mo_WT_9F_ Mus musculus_ RNA_Seq","age__2 months_cell type__Microglia_cx3cr1 genotype__WT_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823691","GSM3823691","2mo_WT_9F",1770966944,18299805,"2019_11_28 20_26_03",657098819,1770966944,18299805,18299805,"index_0_count_18299805_average_48_39_stdev_3_37_index_1_count_18299805_average_48_39_stdev_3_36","GSM3823691_r1",0.4,3.07,0.2,1434835606,1422124660,1369359364,1367015036,99.11,99.83,17496281,15768567,140.676,834.867,39,145747,75.24,79.11,19249948,13163958,19249948,13163958,74.61,75.34,19249948,13053856,19249948,12537341,282089264,19.66,1.3,4.67,0.6,0.51,3.28,17496281,96,95.93,1.27,0,1.09,510.69,0.12,237409,18299805,855451,109990,93935,599599,1336,11763,2349629,7040,2369768,90.93,16640830,119945,2198230,18.326983200634,18299805,17496281,237409,855451,109990,93935,599599,16640830,95.6,1.3,4.7,0.6,0.5,3.3,90.9,48.39,885445366,25.5,23.8,24.6,26,0.1,35.9,28.2,"SRS4831103","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_56_sra_base_sums_SRP199678_SRR9139056_ALL_bw","2 months","Microglia","WT","female","Microglia","None/naïve","grp8"
"SRR9139057",3672819,"SRR9139057","SRS4831104","SRX5912217","GSM3823692_ 2mo_WT_10F_ Mus musculus_ RNA_Seq","age__2 months_cell type__Microglia_cx3cr1 genotype__WT_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823692","GSM3823692","2mo_WT_10F",1831188508,18904359,"2019_11_28 20_26_03",680721736,1831188508,18904359,18904359,"index_0_count_18904359_average_48_43_stdev_3_30_index_1_count_18904359_average_48_43_stdev_3_30","GSM3823692_r1",0.57,2.84,0.08,1497972378,1495781637,1435373378,1441846347,99.85,100.45,18169588,16119717,144.499,889.804,38,144711,82.35,86.22,19748517,14963006,19748517,14963006,81.54,82.31,19748517,14814786,19748517,14283985,195132651,13.03,1.26,4.31,0.54,0.36,2.99,18169588,96,95.96,1.27,0,1.1,630.15,0.12,237780,18904359,814932,101605,67317,565849,1407,13380,2739283,7497,2761567,91.8,17354656,120304,2560080,21.280090437558,18904359,18169588,237780,814932,101605,67317,565849,17354656,96.1,1.3,4.3,0.5,0.4,3,91.8,48.43,915556340,25.3,24,24.9,25.7,0.1,35.9,28.1,"SRS4831104","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_57_sra_base_sums_SRP199678_SRR9139057_ALL_bw","2 months","Microglia","WT","female","Microglia","None/naïve","grp8"
